"","Index","Metro","MeanSalaryAdjusted","MeanSalaryUnadjusted","MeanSalary","NumberJobs","HomePrice","City","LivingCost","Rent","PlusRent","PurPower"
"1",0,"Columbus, OH",117552,108500,51260,13430,192000,"Columbus, OH",984.8,1421.5,2406.3,9335.4
"2",1,"Seattle-Tacoma-Bellevue, WA",117323,131167,65400,65760,491600,"Seattle, WA",1250.7,2528.2,3778.9,8971.3
"3",2,"Charlotte-Concord-Gastonia, NC-SC",114122,107046,51000,12800,208500,"Charlotte, NC",989.9,1974.5,2964.4,8939.8
"4",3,"Colorado Springs, CO",112118,111670,51430,5780,296500,"Colorado Springs, CO",1049.2,1594,2643.2,8493.1
"5",4,"Dayton, OH",111616,99338,50100,4240,124100,"Dayton, OH",961.2,1072.1,2033.3,4887.7
"6",5,"Greensboro-High Point, NC",111050,99612,44570,1560,136000,"Greensboro, NC",992.9,1445.4,2438.3,5721.9
"7",6,"San Francisco-Oakland-Hayward, CA",111017,142101,72400,59550,946700,"San Francisco, CA",1326.9,4163.3,5490.2,8216.7
"8",7,"San Francisco-Oakland-Hayward, CA",111017,142101,72400,59550,946700,"Oakland, CA",1313,3371.1,4684.1,6894.3
"9",8,"San Antonio-New Braunfels, TX",110898,104688,46650,5410,194100,"San Antonio, TX",884.3,1469.5,2353.8,8494.9
"10",9,"Dallas-Fort Worth-Arlington, TX",110891,111113,52590,46130,243900,"Fort Worth, TX",995,1551.7,2546.7,6949.2
"11",10,"Dallas-Fort Worth-Arlington, TX",110891,111113,52590,46130,243900,"Dallas, TX",958.7,1926.5,2885.2,10530.6
"12",11,"Durham-Chapel Hill, NC",110313,105018,59940,6800,243700,"Durham, NC",994.3,1616.2,2610.5,6464.2
"13",12,"Atlanta-Sandy Springs-Roswell, GA",109849,106334,52750,38110,219600,"Atlanta, GA",1082.3,1865.4,2947.7,8063
"14",13,"Cincinnati, OH-KY-IN",109013,98112,50030,8620,169900,"Cincinnati, OH",909.8,1300,2209.8,7723.6
"15",14,"Austin-Round Rock, TX",108990,109535,53810,21160,311300,"Austin, TX",939.6,2214.9,3154.5,9762.4
"16",15,"Raleigh, NC",107676,103584,52580,12560,267200,"Raleigh, NC",963.6,1589.4,2553,8892.9
"17",16,"Houston-The Woodlands-Sugar Land, TX",107672,109503,54290,20400,205600,"Houston, TX",903.4,1665.8,2569.2,10673.7
"18",17,"Baltimore-Columbia-Towson, MD",107282,115006,57740,16200,267800,"Baltimore, MD",1039.3,1600.5,2639.8,8399.9
"19",18,"Las Vegas-Henderson-Paradise, NV",107175,104495,45600,3900,279900,"Las Vegas, NV",965.6,1467.2,2432.8,7702.6
"20",19,"Tucson, AZ",107170,101919,47610,4480,206200,"Tucson, AZ",909.1,1062.1,1971.2,5164.1
"21",20,"Salt Lake City, UT",106291,105334,50920,9600,366000,"Salt Lake City, UT",917.7,1625.8,2543.5,8676.4
"22",21,"Richmond, VA",105258,101153,51330,6390,229600,"Richmond, VA",957.3,1440.7,2398,8079.7
"23",22,"Lexington-Fayette, KY",105248,95986,44900,1140,178400,"Lexington, KY",889,1124,2013,6318.6
"24",23,"Denver-Aurora-Lakewood, CO",105197,111824,59440,26750,407900,"Denver, CO",1062,2125.8,3187.8,8020.4
"25",24,"San Jose-Sunnyvale-Santa Clara, CA",104964,137397,80480,78730,1193600,"Santa Clara, CA",1263.3,3470.9,4734.2,9589.6
"26",25,"San Jose-Sunnyvale-Santa Clara, CA",104964,137397,80480,78730,1193600,"San Jose, CA",1041.5,3160.3,4201.8,9711.8
"27",26,"Portland-Vancouver-Hillsboro, OR-WA",104335,106108,56160,15420,397400,"Portland, OR",1085.5,2031.7,3117.2,6669.7
